indicator_type	match	file	line	context
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72577	Failed to cache bundle from path: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72752	Failed to cache engine to working directory.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72759	Failed to initialize COM on cache thread.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72760	Failed to get cache thread exit code.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72761	Failed to wait for cache thread to terminate.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72765	Failed to create cache thread.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72788	Failed to concat payload cache path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72789	Failed to get completed cache path.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72793	Failed to get manifest stream from container.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72795	Failed to open attached UX container.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72799	Failed to detect if payloads are all cached for package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72800	UX aborted detect package begin.
keyword	Package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72801	Package type not supported by detect yet.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72807	Failed to plan clean package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72813	Failed to plan dependency actions to register package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72814	Failed to plan dependency actions to unregister package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72815	Failed to plan execute package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72816	UX aborted plan package begin.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72817	Failed to set default package state.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72820	Failed to plan layout package.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72840	Failed to write payload unverified path to message buffer.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72845	Failed to write payload id to message buffer.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72846	Failed to write package id to message buffer.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72847	Failed to write container id to message buffer.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72850	Failed to write clean package id to message buffer.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72859	Invalid package message.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72882	Invalid data passed to cache or layout payload.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72883	Failed to cache payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72884	Failed to layout payload from: %ls to %ls
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72885	Failed to layout container from: %ls to %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72888	Failed to find payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72889	Failed to read payload id.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72890	Failed to find package: %ls
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72891	Failed to find container: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72892	Failed to read package id.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72895	Failed to read package id from message buffer.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72907	Failed to remove from cache package: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72909	Failed to create pipe and cache pipe.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72920	Failed to write package log to message buffer.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72930	Unexpected elevated cache message sent to child process, msg: %u
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72934	Failed to execute EXE package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72937	Failed to read exe package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72938	Failed to execute MSI package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72945	Failed to read package log.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72947	Failed to execute MSP package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72948	Failed to find ordered patch package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72949	Failed to read ordered patch package id.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72953	Failed to execute MSU package.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72955	Failed to set elevated cache pipe into thread local storage for logging.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72957	Failed to create elevated cache thread.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72963	Failed to copy package log path.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	72965	Failed to allocate path for package log.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73030	Failed to set source path for container.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73031	UX requested unknown container with id: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73032	Failed to set source path for payload.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73033	UX denied while trying to set source on embedded payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73034	UX requested unknown payload with id: %ls
keyword	download	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73036	Failed to set download password.
keyword	download	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73037	Failed to set download user.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73038	UX did not provide container or payload id.
keyword	download	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73039	Failed to set download URL.
keyword	download	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73040	UX denied while trying to set download URL on embedded payload: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73062	Failed to grow plan's array of cache actions.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73063	Failed to grow plan's array of rollback cache actions.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73064	Failed to append acquire container action to plan.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73065	Failed to calculate unverified path for container.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73066	Failed to copy unverified path for payload to extract.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73067	Failed to grow list of payloads to extract from container.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73080	Failed to append cache action to cache payload.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73081	Failed to copy container working path for layout.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73082	Failed to append acquire container action for layout to plan.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73083	Failed to append cache action to extract payloads from container.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73084	Failed to copy container unverified path for cache action to extract container.
keyword	module	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73085	Failed to get path for executing module as attached container working path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73089	Failed to append execute checkpoint for cache rollback.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73091	Failed to copy unverified path for payload to acquire.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73092	Failed to append cache action to acquire payload.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73093	Failed to add extract payload to current package.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73094	Failed to create container extract action.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73095	Failed while searching for package's container extract action.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73096	Failed to add extract payload action to previous package.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73097	Failed to calculate unverified path for payload.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73098	Failed to plan layout payload.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73107	Failed to append cache/layout payload action.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73108	Failed to append layout container action.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73109	Failed to append cache action.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73110	Failed to append package start action.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73112	Failed to append payload cache action.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73113	Failed to append rollback cache action.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73115	Failed to add plan actions for package: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73116	Failed to plan cache package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73117	Failed to plan slipstream patches for package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73118	Failed to calculate plan actions for package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73119	Invalid package type.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73151	Failed to format cache path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73158	e:\delivery\dev\wix36_dev11\src\burn\engine\cache.cpp
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73166	Failed to secure cache path: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73167	Failed to create ACL to secure cache path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73208	Failed to append SHA1 hash as payload unverified path.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73209	Failed to get working folder for payload.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73210	Failed to append SHA1 hash as container unverified path.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73211	Failed to get working folder for container.
keyword	download	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73216	UX aborted on download progress.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73218	Failed to copy UX payload from: '%ls' to: '%ls'
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73219	Failed to build payload target path for working copy.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73220	Failed to build payload source path for working copy.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73229	Failed to verify expected payload against actual certificate chain.
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73230	Failed authenticode verification of payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73231	Failed authenticode verification of payload and seek file pointer: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73232	Failed authenticode verification of payload and failed to verify payload hash: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73233	Failed to create cache directory: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73234	Failed to get cache directory.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73235	Failed to secure cache directory: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73236	Failed to concat payload id to unverified folder path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73237	Failed to create unverified cache directory: %ls
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73238	%ls container from working path '%ls' to path '%ls'
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73239	Failed to verify container hash: %ls
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73240	Failed to open container in working path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73241	%ls payload from working path '%ls' to path '%ls'
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73242	Failed to verify payload hash: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73243	Failed to verify payload signature: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73244	Failed to open payload in working path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73245	Failed to verify hash of payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73246	Failed to verify catalog signature of payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73247	Failed to verify signature of payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73248	Failed to open payload at path: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73249	Failed to ensure cache directory to remove was backslash terminated.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73250	Failed to combine id to root cache path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73251	Failed to calculate root cache path.
keyword	container	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73256	Failed to layout container from cached path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73258	Failed to layout payload from cached payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73259	Failed to move verified file to complete payload path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73260	Failed to reset permissions on unverified cached payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73261	Failed to find payload: %ls in working path: %ls and unverified path: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73262	Failed to transfer working path to unverified path for payload: %ls.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73264	Failed to get cached path for package with cache id: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73266	Failed to remove package id: %ls.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73267	Failed to complete the cache of payload: %ls
keyword	payload	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73268	Failed to build payload source path.
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73271	Failed to cache bundle from: '%ls' to '%ls'
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73273	Failed to compare completed cache path for bundle: %ls
keyword	cache	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73275	Failed to create completed cache path for bundle.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73276	Failed to evaluate executable package detect condition.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73277	Invalid package expected state.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73278	Invalid package current state: %d.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73281	Failed to plan package cache syncpoint
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73294	Failed to register the package dependency providers.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73307	Failed to get action arguments for executable package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73309	Failed to get cached path for package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73340	Failed to get cached path for MSP package: %ls
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73354	UX aborted detect related MSI package.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73355	Invalid package detection result encountered.
keyword	package	/Users/tzoharlary/PTS files/pts_setup_8_11_1.exe	73361	Invalid package current state result encountered during plan: %d
